motif	tf	origin	gene_id	family	name	symbol	motif_tf
ENSMUSG00000005774_LINE1663_Rfx5_I	Rfx5	CIS-BP	ENSMUSG00000005774	RFX	NA	NA	NA
ENSMUSG00000019900_LINE1664_Rfx6_I	Rfx6	CIS-BP	ENSMUSG00000019900	RFX	NA	NA	NA
ENSMUSG00000020037_LINE1665_Rfx4_D	Rfx4	CIS-BP	ENSMUSG00000020037	RFX	NA	NA	NA
ENSMUSG00000024206_LINE1666_Rfx2_D_N1	Rfx2	CIS-BP	ENSMUSG00000024206	RFX	NA	NA	NA
ENSMUSG00000031706_LINE1668_Rfx1_D	Rfx1	CIS-BP	ENSMUSG00000031706	RFX	NA	NA	NA
ENSMUSG00000037674_LINE1669_Rfx7_D_N2	Rfx7	CIS-BP	ENSMUSG00000037674	RFX	NA	NA	NA
ENSMUSG00000040929_LINE1671_Rfx3_D_N1	Rfx3	CIS-BP	ENSMUSG00000040929	RFX	NA	NA	NA
ENSMUSG00000057173_LINE1673_Rfx8_I	Rfx8	CIS-BP	ENSMUSG00000057173	RFX	NA	NA	NA
ENSMUSG00000022952_LINE1674_Runx1_D	Runx1	CIS-BP	ENSMUSG00000022952	Runt	NA	NA	NA
ENSMUSG00000039153_LINE1675_Runx2_I	Runx2	CIS-BP	ENSMUSG00000039153	Runt	NA	NA	NA
ENSMUSG00000026222_LINE1678_Sp100_D	Sp100	CIS-BP	ENSMUSG00000026222	SAND	NA	NA	NA
ENSMUSG00000028901_LINE1679_Gmeb1_D	Gmeb1	CIS-BP	ENSMUSG00000028901	SAND	NA	NA	NA
ENSMUSG00000038705_LINE1680_Gmeb2_D	Gmeb2	CIS-BP	ENSMUSG00000038705	SAND	NA	NA	NA
ENSMUSG00000070031_LINE1682_Sp140_I	Sp140	CIS-BP	ENSMUSG00000070031	SAND	NA	NA	NA
ENSMUSG00000070034_LINE1683_Sp110_D	Sp110	CIS-BP	ENSMUSG00000070034	SAND	NA	NA	NA
ENSMUSG00000001911_LINE1689_Nfix_I	Nfix	CIS-BP	ENSMUSG00000001911	SMAD	NA	NA	NA
ENSMUSG00000032402_LINE1698_Smad3_D	Smad3	CIS-BP	ENSMUSG00000032402	SMAD	NA	NA	NA
ENSMUSG00000055053_LINE1700_Nfic_I	Nfic	CIS-BP	ENSMUSG00000055053	SMAD	NA	NA	NA
ENSMUSG00000000567_LINE1701_Sox9_I	Sox9	CIS-BP	ENSMUSG00000000567	Sox	NA	NA	NA
ENSMUSG00000000782_LINE1702_Tcf7_D_N1	Tcf7	CIS-BP	ENSMUSG00000000782	Sox	NA	NA	NA
ENSMUSG00000002996_LINE1704_Hbp1_D	Hbp1	CIS-BP	ENSMUSG00000002996	Sox	NA	NA	NA
ENSMUSG00000005442_LINE1706_Cic_D	Cic	CIS-BP	ENSMUSG00000005442	Sox	NA	NA	NA
ENSMUSG00000020232_LINE1710_Hmg20b_D	Hmg20b	CIS-BP	ENSMUSG00000020232	Sox	NA	NA	NA
ENSMUSG00000022641_LINE1712_Bbx_D	Bbx	CIS-BP	ENSMUSG00000022641	Sox	NA	NA	NA
ENSMUSG00000024176_LINE1713_Sox8_D	Sox8	CIS-BP	ENSMUSG00000024176	Sox	NA	NA	NA
ENSMUSG00000024985_LINE1715_Tcf7l2_D	Tcf7l2	CIS-BP	ENSMUSG00000024985	Sox	NA	NA	NA
ENSMUSG00000025902_LINE1716_Sox17_D_N1	Sox17	CIS-BP	ENSMUSG00000025902	Sox	NA	NA	NA
ENSMUSG00000027985_LINE1723_Lef1_D	Lef1	CIS-BP	ENSMUSG00000027985	Sox	NA	NA	NA
ENSMUSG00000033006_LINE1725_Sox10_D_N1	Sox10	CIS-BP	ENSMUSG00000033006	Sox	NA	NA	NA
ENSMUSG00000040489_LINE1733_Sox30_D	Sox30	CIS-BP	ENSMUSG00000040489	Sox	NA	NA	NA
ENSMUSG00000041287_LINE1736_Sox15_D	Sox15	CIS-BP	ENSMUSG00000041287	Sox	NA	NA	NA
ENSMUSG00000041540_LINE1737_Sox5_D_N2	Sox5	CIS-BP	ENSMUSG00000041540	Sox	NA	NA	NA
ENSMUSG00000045179_LINE1741_Sox3_D_N1	Sox3	CIS-BP	ENSMUSG00000045179	Sox	NA	NA	NA
ENSMUSG00000046470_LINE1746_Sox18_D	Sox18	CIS-BP	ENSMUSG00000046470	Sox	NA	NA	NA
ENSMUSG00000051817_LINE1749_Sox12_D	Sox12	CIS-BP	ENSMUSG00000051817	Sox	NA	NA	NA
ENSMUSG00000051910_LINE1750_Sox6_D_N1	Sox6	CIS-BP	ENSMUSG00000051910	Sox	NA	NA	NA
ENSMUSG00000053747_LINE1752_Sox14_D_N1	Sox14	CIS-BP	ENSMUSG00000053747	Sox	NA	NA	NA
ENSMUSG00000055799_LINE1755_Tcf7l1_D	Tcf7l1	CIS-BP	ENSMUSG00000055799	Sox	NA	NA	NA
ENSMUSG00000061517_LINE1757_Sox21_D	Sox21	CIS-BP	ENSMUSG00000061517	Sox	NA	NA	NA
ENSMUSG00000063060_LINE1759_Sox7_D	Sox7	CIS-BP	ENSMUSG00000063060	Sox	NA	NA	NA
ENSMUSG00000063632_LINE1760_Sox11_D_N1	Sox11	CIS-BP	ENSMUSG00000063632	Sox	NA	NA	NA
ENSMUSG00000069036_LINE1764_Sry_D	Sry	CIS-BP	ENSMUSG00000069036	Sox	NA	NA	NA
ENSMUSG00000070643_LINE1766_Sox13_D	Sox13	CIS-BP	ENSMUSG00000070643	Sox	NA	NA	NA
ENSMUSG00000074637_LINE1770_Sox2_D_N2	Sox2	CIS-BP	ENSMUSG00000074637	Sox	NA	NA	NA
ENSMUSG00000076431_LINE1772_Sox4_D	Sox4	CIS-BP	ENSMUSG00000076431	Sox	NA	NA	NA
ENSMUSG00000002147_LINE1780_Stat6_D	Stat6	CIS-BP	ENSMUSG00000002147	STAT	NA	NA	NA
ENSMUSG00000004040_LINE1781_Stat3_D	Stat3	CIS-BP	ENSMUSG00000004040	STAT	NA	NA	NA
ENSMUSG00000004043_LINE1782_Stat5a_I	Stat5a	CIS-BP	ENSMUSG00000004043	STAT	NA	NA	NA
ENSMUSG00000020919_LINE1783_Stat5b_I	Stat5b	CIS-BP	ENSMUSG00000020919	STAT	NA	NA	NA
ENSMUSG00000026104_LINE1784_Stat1_I	Stat1	CIS-BP	ENSMUSG00000026104	STAT	NA	NA	NA
ENSMUSG00000040033_LINE1785_Stat2_I	Stat2	CIS-BP	ENSMUSG00000040033	STAT	NA	NA	NA
ENSMUSG00000062939_LINE1786_Stat4_D	Stat4	CIS-BP	ENSMUSG00000062939	STAT	NA	NA	NA
ENSMUSG00000000093_LINE1787_Tbx2_D_N1	Tbx2	CIS-BP	ENSMUSG00000000093	T-box	NA	NA	NA
ENSMUSG00000000094_LINE1789_Tbx4_D	Tbx4	CIS-BP	ENSMUSG00000000094	T-box	NA	NA	NA
ENSMUSG00000001444_LINE1790_Tbx21_I	Tbx21	CIS-BP	ENSMUSG00000001444	T-box	NA	NA	NA
ENSMUSG00000009097_LINE1791_Tbx1_D	Tbx1	CIS-BP	ENSMUSG00000009097	T-box	NA	NA	NA
ENSMUSG00000018263_LINE1793_Tbx5_D	Tbx5	CIS-BP	ENSMUSG00000018263	T-box	NA	NA	NA
ENSMUSG00000018604_LINE1794_Tbx3_D	Tbx3	CIS-BP	ENSMUSG00000018604	T-box	NA	NA	NA
ENSMUSG00000026572_LINE1795_Tbx19_I	Tbx19	CIS-BP	ENSMUSG00000026572	T-box	NA	NA	NA
ENSMUSG00000031965_LINE1799_Tbx20_D	Tbx20	CIS-BP	ENSMUSG00000031965	T-box	NA	NA	NA
ENSMUSG00000032446_LINE1801_Eomes_D	Eomes	CIS-BP	ENSMUSG00000032446	T-box	NA	NA	NA
ENSMUSG00000035033_LINE1802_Tbr1_D	Tbr1	CIS-BP	ENSMUSG00000035033	T-box	NA	NA	NA
ENSMUSG00000037477_LINE1803_Tbx10_I	Tbx10	CIS-BP	ENSMUSG00000037477	T-box	NA	NA	NA
ENSMUSG00000062327_LINE1804_T_D	T	CIS-BP	ENSMUSG00000062327	T-box	NA	NA	NA
ENSMUSG00000014767_LINE1805_Tbp_D	Tbp	CIS-BP	ENSMUSG00000014767	TBP	NA	NA	NA
ENSMUSG00000061809_LINE1806_Tbpl2_I	Tbpl2	CIS-BP	ENSMUSG00000061809	TBP	NA	NA	NA
ENSMUSG00000046957_LINE1822_Spz1_D	Spz1	CIS-BP	ENSMUSG00000046957	Unknown	NA	NA	NA
ENSMUSG00000046711_LINE73_Hmga1_I_N2	Hmga1	CIS-BP	ENSMUSG00000046711	AT hook	NA	NA	NA
ENSMUSG00000000435_LINE113_Myf5_I_N8	Myf5	CIS-BP	ENSMUSG00000000435	bHLH	NA	NA	NA
ENSMUSG00000005373_LINE126_Mlxipl_I_N1	Mlxipl	CIS-BP	ENSMUSG00000005373	bHLH	NA	NA	NA
ENSMUSG00000020052_LINE158_Ascl1_I_N2	Ascl1	CIS-BP	ENSMUSG00000020052	bHLH	NA	NA	NA
ENSMUSG00000028417_LINE214_Tal2_I_N1	Tal2	CIS-BP	ENSMUSG00000028417	bHLH	NA	NA	NA
ENSMUSG00000028717_LINE236_Tal1_I_N4	Tal1	CIS-BP	ENSMUSG00000028717	bHLH	NA	NA	NA
ENSMUSG00000034041_LINE273_Lyl1_I_N4	Lyl1	CIS-BP	ENSMUSG00000034041	bHLH	NA	NA	NA
ENSMUSG00000034701_LINE292_Neurod1_I_N7	Neurod1	CIS-BP	ENSMUSG00000034701	bHLH	NA	NA	NA
ENSMUSG00000035799_LINE296_Twist1_I_N2	Twist1	CIS-BP	ENSMUSG00000035799	bHLH	NA	NA	NA
ENSMUSG00000037984_LINE330_Neurod6_I_N7	Neurod6	CIS-BP	ENSMUSG00000037984	bHLH	NA	NA	NA
ENSMUSG00000048015_LINE422_Neurod4_I_N7	Neurod4	CIS-BP	ENSMUSG00000048015	bHLH	NA	NA	NA
ENSMUSG00000025408_LINE538_Ddit3_I	Ddit3	CIS-BP	ENSMUSG00000025408	bZIP	NA	NA	NA
ENSMUSG00000026630_LINE553_Batf3_I_N1	Batf3	CIS-BP	ENSMUSG00000026630	bZIP	NA	NA	NA
ENSMUSG00000034266_LINE573_Batf_I_N1	Batf	CIS-BP	ENSMUSG00000034266	bZIP	NA	NA	NA
ENSMUSG00000038539_LINE592_Atf5_I_N2	Atf5	CIS-BP	ENSMUSG00000038539	bZIP	NA	NA	NA
ENSMUSG00000047591_LINE639_Mafa_I_N4	Mafa	CIS-BP	ENSMUSG00000047591	bZIP	NA	NA	NA
ENSMUSG00000055435_LINE664_Maf_I_N4	Maf	CIS-BP	ENSMUSG00000055435	bZIP	NA	NA	NA
ENSMUSG00000000078_LINE740_Klf6_I_N15	Klf6	CIS-BP	ENSMUSG00000000078	C2H2 ZF	NA	NA	NA
ENSMUSG00000000861_LINE755_Bcl11a_I	Bcl11a	CIS-BP	ENSMUSG00000000861	C2H2 ZF	NA	NA	NA
ENSMUSG00000002578_LINE762_Ikzf4_I_N3	Ikzf4	CIS-BP	ENSMUSG00000002578	C2H2 ZF	NA	NA	NA
ENSMUSG00000015501_LINE829_Hivep2_I_N1	Hivep2	CIS-BP	ENSMUSG00000015501	C2H2 ZF	NA	NA	NA
ENSMUSG00000020653_LINE897_Klf11_I_N3	Klf11	CIS-BP	ENSMUSG00000020653	C2H2 ZF	NA	NA	NA
ENSMUSG00000022676_LINE952_Snai2_I_N5	Snai2	CIS-BP	ENSMUSG00000022676	C2H2 ZF	NA	NA	NA
ENSMUSG00000022811_LINE962_Zfp148_I_N2	Zfp148	CIS-BP	ENSMUSG00000022811	C2H2 ZF	NA	NA	NA
ENSMUSG00000025407_LINE1014_Gli1_I_N6	Gli1	CIS-BP	ENSMUSG00000025407	C2H2 ZF	NA	NA	NA
ENSMUSG00000027109_LINE1055_Sp3_I_N13	Sp3	CIS-BP	ENSMUSG00000027109	C2H2 ZF	NA	NA	NA
ENSMUSG00000028634_LINE1075_Hivep3_I_N1	Hivep3	CIS-BP	ENSMUSG00000028634	C2H2 ZF	NA	NA	NA
ENSMUSG00000029178_LINE1101_Klf3_I_N15	Klf3	CIS-BP	ENSMUSG00000029178	C2H2 ZF	NA	NA	NA
ENSMUSG00000029249_LINE1131_Rest_I_N10	Rest	CIS-BP	ENSMUSG00000029249	C2H2 ZF	NA	NA	NA
ENSMUSG00000030087_LINE1139_Klf15_I	Klf15	CIS-BP	ENSMUSG00000030087	C2H2 ZF	NA	NA	NA
ENSMUSG00000030678_LINE1154_Maz_I	Maz	CIS-BP	ENSMUSG00000030678	C2H2 ZF	NA	NA	NA
ENSMUSG00000035011_LINE1189_Zbtb7a_I_N2	Zbtb7a	CIS-BP	ENSMUSG00000035011	C2H2 ZF	NA	NA	NA
ENSMUSG00000037279_LINE1220_Ovol2_I	Ovol2	CIS-BP	ENSMUSG00000037279	C2H2 ZF	NA	NA	NA
ENSMUSG00000037465_LINE1224_Klf10_I	Klf10	CIS-BP	ENSMUSG00000037465	C2H2 ZF	NA	NA	NA
ENSMUSG00000038346_LINE1233_Zfp384_I	Zfp384	CIS-BP	ENSMUSG00000038346	C2H2 ZF	NA	NA	NA
ENSMUSG00000044646_LINE1331_Zbtb7c_I_N2	Zbtb7c	CIS-BP	ENSMUSG00000044646	C2H2 ZF	NA	NA	NA
ENSMUSG00000046873_LINE1387_Mbtps2_I_N16	Mbtps2	CIS-BP	ENSMUSG00000046873	C2H2 ZF	NA	NA	NA
ENSMUSG00000048251_LINE1408_Bcl11b_I	Bcl11b	CIS-BP	ENSMUSG00000048251	C2H2 ZF	NA	NA	NA
ENSMUSG00000048402_LINE1433_Gli2_I_N6	Gli2	CIS-BP	ENSMUSG00000048402	C2H2 ZF	NA	NA	NA
ENSMUSG00000049295_LINE1480_Zfp219_I	Zfp219	CIS-BP	ENSMUSG00000049295	C2H2 ZF	NA	NA	NA
ENSMUSG00000052040_LINE1535_Klf13_I_N3	Klf13	CIS-BP	ENSMUSG00000052040	C2H2 ZF	NA	NA	NA
ENSMUSG00000052942_LINE1545_Glis3_I_N3	Glis3	CIS-BP	ENSMUSG00000052942	C2H2 ZF	NA	NA	NA
ENSMUSG00000055148_LINE1590_Klf2_I_N14	Klf2	CIS-BP	ENSMUSG00000055148	C2H2 ZF	NA	NA	NA
ENSMUSG00000070495_LINE1841_Ctcfl_I	Ctcfl	CIS-BP	ENSMUSG00000070495	C2H2 ZF	NA	NA	NA
ENSMUSG00000018554_LINE2089_Ybx2_I_N1	Ybx2	CIS-BP	ENSMUSG00000018554	CSD	NA	NA	NA
ENSMUSG00000028639_LINE2093_Ybx1_I_N1	Ybx1	CIS-BP	ENSMUSG00000028639	CSD	NA	NA	NA
ENSMUSG00000039191_LINE2108_Rbpj_I_N3	Rbpj	CIS-BP	ENSMUSG00000039191	CSL	NA	NA	NA
ENSMUSG00000043013_LINE2138_Onecut1_I_N5	Onecut1	CIS-BP	ENSMUSG00000043013	CUT,Homeodomain	NA	NA	NA
ENSMUSG00000045991_LINE2158_Onecut2_I_N5	Onecut2	CIS-BP	ENSMUSG00000045991	CUT,Homeodomain	NA	NA	NA
ENSMUSG00000022895_LINE2391_Ets2_I_N55	Ets2	CIS-BP	ENSMUSG00000022895	Ets	NA	NA	NA
ENSMUSG00000033713_LINE2782_Foxn3_I_N4	Foxn3	CIS-BP	ENSMUSG00000033713	Forkhead	NA	NA	NA
ENSMUSG00000034998_LINE2806_Foxn2_I_N8	Foxn2	CIS-BP	ENSMUSG00000034998	Forkhead	NA	NA	NA
ENSMUSG00000040891_LINE3490_Foxa3_I_N47	Foxa3	CIS-BP	ENSMUSG00000040891	Forkhead	NA	NA	NA
ENSMUSG00000050397_LINE4067_Foxl2_I_N51	Foxl2	CIS-BP	ENSMUSG00000050397	Forkhead	NA	NA	NA
ENSMUSG00000051490_LINE4226_Foxd4_I_N53	Foxd4	CIS-BP	ENSMUSG00000051490	Forkhead	NA	NA	NA
ENSMUSG00000021362_LINE5293_Gcm2_I_N14	Gcm2	CIS-BP	ENSMUSG00000021362	GCM	NA	NA	NA
ENSMUSG00000009741_LINE5318_Ubp1_I_N2	Ubp1	CIS-BP	ENSMUSG00000009741	Grainyhead	NA	NA	NA
ENSMUSG00000040841_LINE5790_Six5_I_N4	Six5	CIS-BP	ENSMUSG00000040841	Homeodomain	NA	NA	NA
ENSMUSG00000041309_LINE5799_Nkx62_I_N5	Nkx6-2	CIS-BP	ENSMUSG00000041309	Homeodomain	NA	NA	NA
ENSMUSG00000041730_LINE5890_Prrxl1_I_N48	Prrxl1	CIS-BP	ENSMUSG00000041730	Homeodomain	NA	NA	NA
ENSMUSG00000031688_LINE6328_Pou4f2_I_N4	Pou4f2	CIS-BP	ENSMUSG00000031688	Homeodomain,POU	NA	NA	NA
ENSMUSG00000048349_LINE6338_Pou4f1_I_N4	Pou4f1	CIS-BP	ENSMUSG00000048349	Homeodomain,POU	NA	NA	NA
ENSMUSG00000001419_LINE6419_Mef2d_I_N14	Mef2d	CIS-BP	ENSMUSG00000001419	MADS box	NA	NA	NA
ENSMUSG00000032481_LINE6526_Smarcc1_I_N2	Smarcc1	CIS-BP	ENSMUSG00000032481	NA	NA	NA	NA
ENSMUSG00000020889_LINE6649_Nr1d1_I_N1	Nr1d1	CIS-BP	ENSMUSG00000020889	Nuclear receptor	NA	NA	NA
ENSMUSG00000021775_LINE6674_Nr1d2_I_N1	Nr1d2	CIS-BP	ENSMUSG00000021775	Nuclear receptor	NA	NA	NA
ENSMUSG00000021779_LINE6679_Thrb_I_N2	Thrb	CIS-BP	ENSMUSG00000021779	Nuclear receptor	NA	NA	NA
ENSMUSG00000023034_LINE6710_Nr4a1_I_N5	Nr4a1	CIS-BP	ENSMUSG00000023034	Nuclear receptor	NA	NA	NA
ENSMUSG00000026751_LINE6719_Nr5a1_I_N5	Nr5a1	CIS-BP	ENSMUSG00000026751	Nuclear receptor	NA	NA	NA
ENSMUSG00000031870_LINE6829_Pgr_I_N9	Pgr	CIS-BP	ENSMUSG00000031870	Nuclear receptor	NA	NA	NA
ENSMUSG00000047638_LINE6853_Nr1h4_I_N1	Nr1h4	CIS-BP	ENSMUSG00000047638	Nuclear receptor	NA	NA	NA
ENSMUSG00000048938_LINE6860_Nr1h5_I_N1	Nr1h5	CIS-BP	ENSMUSG00000048938	Nuclear receptor	NA	NA	NA
ENSMUSG00000058756_LINE6865_Thra_I_N2	Thra	CIS-BP	ENSMUSG00000058756	Nuclear receptor	NA	NA	NA
ENSMUSG00000022510_LINE6881_Trp63_I_N2	Trp63	CIS-BP	ENSMUSG00000022510	p53	NA	NA	NA
ENSMUSG00000026976_LINE6964_Pax8_I_N8	Pax8	CIS-BP	ENSMUSG00000026976	Paired box	NA	NA	NA
ENSMUSG00000037034_LINE6992_Pax1_I_N8	Pax1	CIS-BP	ENSMUSG00000037034	Paired box	NA	NA	NA
ENSMUSG00000002983_LINE7015_Relb_I	Relb	CIS-BP	ENSMUSG00000002983	Rel	NA	NA	NA
ENSMUSG00000023411_LINE7035_Nfatc4_I_N10	Nfatc4	CIS-BP	ENSMUSG00000023411	Rel	NA	NA	NA
ENSMUSG00000070691_LINE7301_Runx3_I_N3	Runx3	CIS-BP	ENSMUSG00000070691	Runt	NA	NA	NA
ENSMUSG00000008575_LINE7350_Nfib_I_N4	Nfib	CIS-BP	ENSMUSG00000008575	SMAD	NA	NA	NA
ENSMUSG00000024515_LINE7356_Smad4_I_N1	Smad4	CIS-BP	ENSMUSG00000024515	SMAD	NA	NA	NA
ENSMUSG00000024563_LINE7358_Smad2_I_N1	Smad2	CIS-BP	ENSMUSG00000024563	NA	NA	NA	NA
ENSMUSG00000028565_LINE7375_Nfia_I_N4	Nfia	CIS-BP	ENSMUSG00000028565	SMAD	NA	NA	NA
ENSMUSG00000031681_LINE7378_Smad1_I_N1	Smad1	CIS-BP	ENSMUSG00000031681	SMAD	NA	NA	NA
ENSMUSG00000027868_LINE7567_Tbx15_I_N1	Tbx15	CIS-BP	ENSMUSG00000027868	T-box	NA	NA	NA
ENSMUSG00000031241_LINE7574_Tbx22_I_N1	Tbx22	CIS-BP	ENSMUSG00000031241	T-box	NA	NA	NA
ENSMUSG00000032419_LINE7580_Tbx18_I_N1	Tbx18	CIS-BP	ENSMUSG00000032419	T-box	NA	NA	NA
ENSMUSG00000002249_LINE7609_Tead3_I_N1	Tead3	CIS-BP	ENSMUSG00000002249	TEA	NA	NA	NA
ENSMUSG00000030353_LINE7613_Tead4_I_N1	Tead4	CIS-BP	ENSMUSG00000030353	TEA	NA	NA	NA
ENSMUSG00000004328_LINE324_Hif3a_I_N1	Hif3a	CIS-BP	ENSMUSG00000004328	bHLH	NA	NA	NA
ENSMUSG00000028466_LINE1467_Creb3_I_N1	Creb3	CIS-BP	ENSMUSG00000028466	bZIP	NA	NA	NA
ENSMUSG00000029832_LINE1491_Nfe2l3_I_N2	Nfe2l3	CIS-BP	ENSMUSG00000029832	bZIP	NA	NA	NA
ENSMUSG00000016458_LINE2218_Wt1_I	Wt1	CIS-BP	ENSMUSG00000016458	C2H2 ZF	NA	NA	NA
ENSMUSG00000024137_LINE2393_E4f1_I	E4f1	CIS-BP	ENSMUSG00000024137	C2H2 ZF	NA	NA	NA
ENSMUSG00000035397_LINE2773_Klf16_I_N3	Klf16	CIS-BP	ENSMUSG00000035397	C2H2 ZF	NA	NA	NA
ENSMUSG00000051176_LINE3240_Zfp42_I_N14	Zfp42	CIS-BP	ENSMUSG00000051176	C2H2 ZF	NA	NA	NA
Q8K439_MOUSE_LINE3883_Zfp263_I_N2	Zfp263	CIS-BP	Q8K439	C2H2 ZF	NA	NA	NA
Q8K439_MOUSE_LINE3877_Zfp263_I_N1	Zfp263	CIS-BP	Q8K439	C2H2 ZF	NA	NA	NA
Q8K439_MOUSE_LINE3878_Zfp263_I_N1	Zfp263	CIS-BP	Q8K439	C2H2 ZF	NA	NA	NA
ENSMUSG00000047143_LINE4019_Dmrta2_I_N3	Dmrta2	CIS-BP	ENSMUSG00000047143	DM	NA	NA	NA
ENSMUSG00000001517_LINE5830_Foxm1_I_N1	Foxm1	CIS-BP	ENSMUSG00000001517	Forkhead	NA	NA	NA
ENSMUSG00000026497_LINE12141_Mixl1_I	Mixl1	CIS-BP	ENSMUSG00000026497	Homeodomain	NA	NA	NA
ENSMUSG00000079033_LINE16135_Mef2b_I_N14	Mef2b	CIS-BP	ENSMUSG00000079033	MADS box	NA	NA	NA
ENSMUSG00000021540_LINE17865_Smad5_I_N1	Smad5	CIS-BP	ENSMUSG00000021540	SMAD	NA	NA	NA
ENSMUSG00000027796_LINE17891_Smad9_I_N1	Smad9	CIS-BP	ENSMUSG00000027796	SMAD	NA	NA	NA
